Transaction ID,Reference Number,Amount,Date
SYS-1001,REF-ALPHA-01,1200.00,2026-01-02
SYS-1002,REF-BETA-02,850.50,2026-01-03
SYS-1003,REF-GAMMA-03,430.25,2026-01-04
SYS-1004,REF-DELTA-04,999.99,2026-01-05
SYS-1005,REF-EPSILON-05,2750.00,2026-01-06
SYS-1006,REF-ZETA-06,150.00,2026-01-06
SYS-1007,REF-ETA-07,1789.10,2026-01-07
SYS-1008,REF-THETA-08,650.00,2026-01-08
SYS-1009,REF-IOTA-09,301.00,2026-01-08
SYS-1010,REF-KAPPA-10,4900.45,2026-01-09
SYS-1011,REF-LAMBDA-11,77.00,2026-01-10
SYS-1012,REF-MU-12,920.00,2026-01-11
