Transaction ID,Reference Number,Amount,Date
SYS-1001,REF-ALPHA-01,1200.00,2026-01-02
SYS-1002,REF-BETA-02,850.50,2026-01-03
SYS-1003,REF-GAMMA-03,436.00,2026-01-04
SYS-1003,REF-GAMMA-03,436.00,2026-01-04
TXN-2001,REF-DELTA-04,1010.00,2026-01-05
SYS-1005,REF-EPSILON-05,2750.00,2026-01-06
SYS-1006,REF-ZETA-06,147.30,2026-01-06
SYS-1007,REF-ETA-07,1789.10,2026-01-07
TXN-2002,REF-UNKNOWN-88,100.00,2026-01-07
SYS-1008,REF-THETA-08,650.00,2026-01-08
SYS-1009,REF-IOTA-09,301.00,2026-01-08
SYS-1010,REF-KAPPA-10,4901.00,2026-01-09
SYS-1012,REF-MU-12,920.00,2026-01-11
TXN-2003,REF-LAMBDA-11,76.50,2026-01-10
TXN-2004,REF-NO-MATCH-99,600.00,2026-01-12
